seed,world,selector,terminal_wealth,time_to_death,rollover_failure_frequency,transaction_cost_total,transaction_cost_mean,rollover_count,fail_count,settlement_event_count,dead
50,baseline_world,term_aware,-0.02991853266604421,3,0.25,0.015,3.75e-05,3,1,4,True
51,baseline_world,term_aware,-0.025,2,0.3333333333333333,0.030000000000000002,7.500000000000001e-05,2,1,3,True
52,baseline_world,term_aware,-0.025,13,0.07142857142857142,0.035,8.750000000000001e-05,13,1,14,True
53,baseline_world,term_aware,-0.001298467168326017,3,0.0,0.0,0.0,3,0,3,True
54,baseline_world,term_aware,-0.009200220824864143,6,0.0,0.0,0.0,6,0,6,True
55,baseline_world,term_aware,-0.005,9,0.1,0.045,0.0001125,9,1,10,True
56,baseline_world,term_aware,-0.024998355410927396,3,0.0,0.0,0.0,3,0,3,True
57,baseline_world,term_aware,-0.023748199602000614,4,0.2,0.02,5e-05,4,1,5,True
58,baseline_world,term_aware,-0.0006788810212623956,2,0.0,0.0,0.0,2,0,2,True
59,baseline_world,term_aware,-0.00671589165817921,7,0.125,0.035,8.750000000000001e-05,7,1,8,True
60,baseline_world,term_aware,-0.0055371282376142856,4,0.2,0.02,5e-05,4,1,5,True
61,baseline_world,term_aware,-0.006769885925844148,5,0.16666666666666666,0.01,2.5e-05,5,1,6,True
62,baseline_world,term_aware,-0.04374195731544906,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
63,baseline_world,term_aware,-0.030275687413133388,14,0.06666666666666667,0.06,0.00015,14,1,15,True
64,baseline_world,term_aware,-0.011656782435802572,2,0.3333333333333333,0.01,2.5e-05,2,1,3,True
65,baseline_world,term_aware,-0.005,3,0.25,0.01,2.5e-05,3,1,4,True
66,baseline_world,term_aware,-0.012597430110570872,5,0.16666666666666666,0.025,6.25e-05,5,1,6,True
67,baseline_world,term_aware,-0.005958934761164129,6,0.0,0.0,0.0,6,0,6,True
68,baseline_world,term_aware,-0.017512981654954837,5,0.0,0.0,0.0,5,0,5,True
69,baseline_world,term_aware,-0.048843487993506206,9,0.1,0.065,0.0001625,9,1,10,True
70,baseline_world,term_aware,-0.006294996524337501,12,0.0,0.005,1.25e-05,12,0,12,True
71,baseline_world,term_aware,-0.008983767861277487,9,0.0,0.02,5e-05,9,0,9,True
72,baseline_world,term_aware,-0.0044774546594375745,3,0.0,0.0,0.0,3,0,3,True
73,baseline_world,term_aware,-0.021710993516902588,2,0.0,0.0,0.0,2,0,2,True
74,baseline_world,term_aware,-0.025,3,0.25,0.035,8.750000000000001e-05,3,1,4,True
75,baseline_world,term_aware,-0.0019193842386584798,9,0.0,0.0,0.0,9,0,9,True
76,baseline_world,term_aware,-0.012620923467091608,6,0.14285714285714285,0.030000000000000002,7.500000000000001e-05,6,1,7,True
77,baseline_world,term_aware,-0.013238392371031818,3,0.25,0.015,3.75e-05,3,1,4,True
78,baseline_world,term_aware,-0.03033324656518414,16,0.058823529411764705,0.02,5e-05,16,1,17,True
79,baseline_world,term_aware,-0.025,3,0.25,0.035,8.750000000000001e-05,3,1,4,True
80,baseline_world,term_aware,-0.012140499607058122,16,0.0,0.02,5e-05,16,0,16,True
81,baseline_world,term_aware,-0.005,8,0.1111111111111111,0.02,5e-05,8,1,9,True
82,baseline_world,term_aware,-0.005,4,0.2,0.02,5e-05,4,1,5,True
83,baseline_world,term_aware,-0.012574774182336032,7,0.125,0.035,8.750000000000001e-05,7,1,8,True
84,baseline_world,term_aware,-0.005,3,0.25,0.015,3.75e-05,3,1,4,True
85,baseline_world,term_aware,-0.039408581525454026,3,0.0,0.0,0.0,3,0,3,True
86,baseline_world,term_aware,-0.00822811638462654,4,0.2,0.02,5e-05,4,1,5,True
87,baseline_world,term_aware,-0.0288138602133626,4,0.2,0.02,5e-05,4,1,5,True
88,baseline_world,term_aware,-0.005848274100652239,2,0.0,0.02,5e-05,2,0,2,True
89,baseline_world,term_aware,-0.019432961151106175,3,0.25,0.015,3.75e-05,3,1,4,True
90,baseline_world,term_aware,-0.007884955858735221,19,0.05,0.015,3.75e-05,19,1,20,True
91,baseline_world,term_aware,-0.005,20,0.047619047619047616,0.08,0.0002,20,1,21,True
92,baseline_world,term_aware,-0.011197121494127877,3,0.0,0.005,1.25e-05,3,0,3,True
